grounding | Unclench your face.
grounding | Exhale fully.
grounding | Feel your feet.
grounding | Drop your shoulders.
grounding | Relax your jaw.
grounding | Notice your breathing without changing it.
grounding | Look around and name three real things.
grounding | You are here, not in the tab.
grounding | Let your eyes soften.
grounding | Sit like your body is allowed to exist.
grounding | Release one unnecessary muscle.
grounding | Check whether you are bracing.
grounding | Return to the room.
grounding | Let today be slightly simpler.
grounding | Nothing needs to be solved this second.
grounding | Notice the weight of your body.
grounding | Let your hands rest.
grounding | Slow down by three percent.
grounding | You can be present without performing.
grounding | Feel the chair under you.
grounding | Widen your attention.
grounding | Soften your forehead.
grounding | Let your mouth be neutral.
grounding | You do not need to chase every thought.
grounding | Come back to the nearest real thing.
grounding | Your body is allowed to take up space.
grounding | Unhook from the invisible argument.
grounding | You can pause without losing momentum.
grounding | Relax the back of your tongue.
grounding | Notice one sound in the room.
grounding | Let your breathing be boring.
grounding | Lower the internal volume a little.
grounding | Feel your clothing on your skin.
grounding | Be where your hands are.
grounding | Let the moment be plain.
grounding | You do not need to be mentally elsewhere.
grounding | Notice the temperature of the air.
grounding | Let your shoulders stop auditioning for danger.
grounding | You can arrive before you optimise.
grounding | Find one point of stillness.
grounding | Put less tension into being a person.
grounding | Stop leaning forward into imaginary emergencies.
grounding | Return to your senses.
grounding | The room is more real than the spiral.
grounding | Come back before making anything bigger.
grounding | Notice whether your body thinks it is under attack.
grounding | Ease your grip on the moment.
grounding | Let the floor do some of the work.
grounding | Rest your eyes on something ordinary.
grounding | Be here without fixing here.
grounding | Let your ribs move.
grounding | The body first, the story second.
grounding | Stop clenching around the next hour.
grounding | Make contact with the present tense.
grounding | Let your breathing reach your lower lungs.
grounding | Nothing urgent is improved by extra bracing.
grounding | Let your attention land instead of ricochet.
grounding | Your nervous system is allowed a less dramatic interpretation.
grounding | Feel one point of support.
grounding | Stop preparing for a conversation that is not happening.
grounding | Be in the room before being in the future.
grounding | Notice the difference between alert and alarm.
grounding | Let your neck stop carrying the plot.
grounding | Loosen your face into human mode.
grounding | Pause before adding meaning.
grounding | You can come back in one breath.
grounding | Rest one hand somewhere reassuring.
grounding | Allow one layer of urgency to leave.
grounding | Feel the edge of the desk, chair, or floor.
grounding | Reality is often quieter than anticipation.
grounding | Return to the immediate and the actual.
grounding | Your body does not need to narrate every sensation.
grounding | Stay with what is here before what might happen.
grounding | Let your chest stop negotiating with gravity.
grounding | There is no prize for remaining tightly wound.
grounding | Be local, not cosmic, for ten seconds.
grounding | You can exist without explanation right now.
grounding | One ordinary breath counts.
grounding | Stop gripping the next thought before it arrives.
